corridor_code,month_code,flight_date,n,cv_pct
C1,Jan,2023-01-01,7,2.697516269283779
C1,Jan,2023-01-02,11,3.894921138136087
C1,Jan,2023-01-03,12,4.216979378302148
C1,Jan,2023-01-04,18,4.330000734997392
C1,Jan,2023-01-05,9,1.668808598432708
C1,Jan,2023-01-06,9,3.3054193776369494
C1,Jan,2023-01-07,10,3.584121237051436
C1,Jan,2023-01-08,8,4.7057041675372595
C1,Jan,2023-01-09,8,3.0016469192222255
C1,Jan,2023-01-10,13,1.6286176113163482
C1,Jan,2023-01-11,12,1.5613056884850307
C1,Jan,2023-01-12,6,3.17761850998353
C1,Jan,2023-01-13,9,1.9290349606489428
C1,Jan,2023-01-14,11,2.2830150798287203
C1,Jan,2023-01-15,5,1.5727503189466812
C1,Jan,2023-01-16,6,2.6663586063464138
C1,Jan,2023-01-17,13,1.688359935334713
C1,Jan,2023-01-18,15,3.241089797057191
C1,Jan,2023-01-23,8,2.4944604949212366
C1,Jan,2023-01-24,6,4.420072375375164
C1,Jan,2023-01-25,13,4.145974801127563
C1,Jan,2023-01-26,11,1.530098490532243
C1,Jan,2023-01-27,6,3.1563574356107273
C1,Jan,2023-01-29,8,3.4492003386597205
C1,Jan,2023-01-30,7,2.257662181004646
C1,Jan,2023-01-31,14,3.0758492903056056
C1,Mar,2023-03-01,12,3.6183733198634274
C1,Mar,2023-03-02,16,1.9112166188599486
C1,Mar,2023-03-03,14,3.1858485751170917
C1,Mar,2023-03-04,12,1.0781667523168634
C1,Mar,2023-03-05,8,1.8302421439751488
C1,Mar,2023-03-06,10,1.9383611740519053
C1,Mar,2023-03-07,8,2.2409342171906874
C1,Mar,2023-03-08,9,2.135269199680569
C1,Mar,2023-03-09,11,2.5684529130687492
C1,Mar,2023-03-12,6,2.211066338579968
C1,Mar,2023-03-13,10,5.605160709418315
C1,Mar,2023-03-14,13,4.389323903328679
C1,Mar,2023-03-15,8,1.321554250768992
C1,Mar,2023-03-16,10,1.71367305170334
C1,Mar,2023-03-17,12,4.1050407413636165
C1,Mar,2023-03-18,13,2.53917898036383
C1,Mar,2023-03-20,11,1.58590211202312
C1,Mar,2023-03-21,14,2.8825948302617985
C1,Mar,2023-03-22,13,3.055682004194896
C1,Mar,2023-03-23,13,2.1620320789890934
C1,Mar,2023-03-24,10,3.0029200551138775
C1,Mar,2023-03-25,10,2.3566079225778247
C1,Mar,2023-03-26,20,2.603705204233473
C1,Mar,2023-03-28,17,2.111100186719898
C1,Mar,2023-03-29,18,3.042027710533142
C1,Mar,2023-03-30,13,2.8322018506566335
C1,Mar,2023-03-31,19,2.9581399164852487
C1,Jun,2023-06-01,21,3.6310185895117417
C1,Jun,2023-06-02,18,1.775843119359467
C1,Jun,2023-06-03,22,3.0787331806970113
C1,Jun,2023-06-04,19,2.2894164515793287
C1,Jun,2023-06-05,12,2.5183050580670834
C1,Jun,2023-06-06,27,2.2215458142107627
C1,Jun,2023-06-07,23,2.36477629580408
C1,Jun,2023-06-08,17,2.9176769072332784
C1,Jun,2023-06-09,25,2.8192351782632
C1,Jun,2023-06-10,16,2.117491904888162
C1,Jun,2023-06-11,22,2.317525389023449
C1,Jun,2023-06-12,17,3.904005229050373
C1,Jun,2023-06-13,20,2.608793276220777
C1,Jun,2023-06-14,25,2.5225465173354764
C1,Jun,2023-06-15,18,2.5031995182452556
C1,Jun,2023-06-16,13,2.9364971959796917
C1,Jun,2023-06-17,19,2.3624554297496396
C1,Jun,2023-06-18,16,2.7469614783022687
C1,Jun,2023-06-19,11,1.8615082966433902
C1,Jun,2023-06-20,13,3.0816971152320423
C1,Jun,2023-06-21,20,3.541323844333693
C1,Jun,2023-06-22,19,2.0961928196355646
C1,Jun,2023-06-23,20,2.1196889350844645
C1,Jun,2023-06-24,14,2.0000127700222867
C1,Jun,2023-06-25,20,3.119125983786506
C1,Jun,2023-06-26,10,1.4619893599629352
C1,Jun,2023-06-27,15,2.8586368375342315
C1,Jun,2023-06-28,20,2.979733486257902
C1,Jun,2023-06-29,16,2.379645691507906
C1,Jun,2023-06-30,16,2.3598997574188343
C1,Nov,2023-11-01,21,3.86625336557977
C1,Nov,2023-11-02,14,3.9116439814192794
C1,Nov,2023-11-03,23,2.021095150308698
C1,Nov,2023-11-04,14,3.9028817497263764
C1,Nov,2023-11-05,18,3.97924716524788
C1,Nov,2023-11-06,20,2.922036778091203
C1,Nov,2023-11-07,17,3.872283312353464
C1,Nov,2023-11-08,9,1.7002251093363994
C1,Nov,2023-11-09,14,3.102342419921876
C1,Nov,2023-11-11,6,4.571860344246568
C1,Nov,2023-11-12,7,4.020787757896447
C1,Nov,2023-11-13,15,2.8893211259236335
C1,Nov,2023-11-14,12,2.866452115858275
C1,Nov,2023-11-15,11,2.7829801625273576
C1,Nov,2023-11-16,14,2.5026108595553027
C1,Nov,2023-11-17,7,2.0290517898129132
C1,Nov,2023-11-18,12,2.34062699113352
C1,Nov,2023-11-19,18,2.6097957750754985
C1,Nov,2023-11-20,11,2.0588710405745636
C1,Nov,2023-11-21,6,1.3302979294975834
C1,Nov,2023-11-23,13,2.651246564767703
C1,Nov,2023-11-24,14,1.3484005009910862
C1,Nov,2023-11-25,11,1.505266518131307
C1,Nov,2023-11-26,5,2.4412343190180987
C1,Nov,2023-11-27,8,2.116013726067032
C1,Nov,2023-11-28,13,2.0654279723853355
C1,Nov,2023-11-29,17,2.3859684941802635
C1,Nov,2023-11-30,10,2.123723729598207
C2,Jan,2023-01-02,8,2.709609841714248
C2,Jan,2023-01-03,7,1.4542188814672536
C2,Jan,2023-01-06,6,2.9338848878821313
C2,Jan,2023-01-07,12,2.7888908513953994
C2,Jan,2023-01-08,10,2.7688284809327084
C2,Jan,2023-01-09,15,3.0330138452737048
C2,Jan,2023-01-11,8,2.711131449488721
C2,Jan,2023-01-13,13,3.1911499421035527
C2,Jan,2023-01-15,7,2.2446307702816344
C2,Jan,2023-01-16,18,4.097704466911098
C2,Jan,2023-01-17,7,2.2477223968345608
C2,Jan,2023-01-19,6,6.017924461886015
C2,Jan,2023-01-20,6,2.230995935948298
C2,Jan,2023-01-21,6,5.440274844515013
C2,Jan,2023-01-22,5,2.37339207731992
C2,Jan,2023-01-23,18,3.9863361269356057
C2,Jan,2023-01-24,7,3.9130573201224697
C2,Jan,2023-01-25,17,4.5192595922483125
