dep_airport,arr_airport,carrier_group,ac_category,route_type,gcd_km,freq_band,co2_per_km,annual_co2_kg,annual_co2_saving_final
AOI,TIA,regional-other,borderline,narrowbody,576,50-200,24.1,1710000,6020
BGY,TIA,regional-other,borderline,narrowbody,935,50-200,21.5,3610000,8820
BLQ,TIA,regional-other,borderline,narrowbody,768,50-200,22.4,2100000,6020
BRI,TIA,regional-other,borderline,narrowbody,249,50-200,33.5,1030000,6020
FLR,TIA,regional-other,borderline,narrowbody,745,50-200,22.6,1680000,4940
FRL,TIA,regional-other,borderline,narrowbody,695,<50,22.9,399000,1180
GOA,TIA,regional-other,borderline,narrowbody,945,50-200,21.4,2510000,6020
MXP,TIA,regional-other,borderline,narrowbody,1001,50-200,21.2,1930000,4410
PEG,TIA,regional-other,borderline,narrowbody,621,50-200,23.6,1790000,6020
PSA,TIA,regional-other,borderline,narrowbody,803,50-200,22.2,3520000,9680
RMI,TIA,regional-other,borderline,narrowbody,649,<50,23.4,318000,1080
STN,TIA,regional-other,borderline,narrowbody,1878,50-200,19.5,2120000,2800
VCE,TIA,regional-other,borderline,narrowbody,748,50-200,22.5,3290000,9570
VRN,TIA,regional-other,borderline,narrowbody,838,50-200,22,3590000,9570
AYT,BAH,narrowbody-mixed,narrowbody,narrowbody,2210,<50,21.9,921000,3660
AYT,BER,narrowbody-mixed,narrowbody,narrowbody,2185,<50,22,144000,645
AYT,BER,network-longhaul,widebody,widebody_nonoceanic,2185,<50,39.8,3560000,29000
AYT,BER,narrowbody-mixed,narrowbody,narrowbody,2185,<50,18.3,878000,4300
AYT,BER,network-longhaul,widebody,widebody_nonoceanic,2185,<50,57.2,2000000,11300
AYT,BEY,narrowbody-mixed,narrowbody,narrowbody,544,<50,28.6,218000,2800
AYT,BSL,narrowbody-mixed,narrowbody,narrowbody,2242,<50,21.9,343000,1290
AYT,BSL,network-longhaul,widebody,widebody_nonoceanic,2242,<50,39.6,266000,2520
AYT,BSL,network-longhaul,widebody,widebody_nonoceanic,2242,<50,50.8,114000,1260
AYT,BSL,network-longhaul,widebody,widebody_nonoceanic,2242,<50,57.1,128000,1260
AYT,CGN,narrowbody-mixed,narrowbody,narrowbody,2432,<50,18.1,176000,860
AYT,DRS,narrowbody-mixed,narrowbody,narrowbody,2078,<50,18.4,153000,860
AYT,DUS,narrowbody-mixed,narrowbody,narrowbody,2478,<50,21.6,536000,1940
AYT,DUS,network-longhaul,widebody,widebody_nonoceanic,2478,<50,39.1,1260000,8810
AYT,DUS,narrowbody-mixed,narrowbody,narrowbody,2478,<50,18,982000,4300
AYT,DUS,network-longhaul,widebody,widebody_nonoceanic,2478,<50,50.3,249000,1260
AYT,DUS,network-longhaul,widebody,widebody_nonoceanic,2478,50-200,56.5,19500000,98200
AYT,FRA,narrowbody-mixed,narrowbody,narrowbody,2297,<50,18.2,334000,1500
AYT,GOJ,narrowbody-mixed,narrowbody,narrowbody,2358,<50,21.7,103000,430
AYT,GOJ,narrowbody-mixed,narrowbody,narrowbody,2358,<50,18.1,128000,645
AYT,GOJ,network-longhaul,widebody,widebody_nonoceanic,2358,<50,50.6,835000,5040
AYT,HAJ,narrowbody-mixed,narrowbody,narrowbody,2385,<50,21.7,2430000,9240
AYT,HAJ,network-longhaul,widebody,widebody_nonoceanic,2385,<50,39.3,93800,1260
AYT,HAJ,narrowbody-mixed,narrowbody,narrowbody,2385,<50,18.1,259000,1080
AYT,HAM,narrowbody-mixed,narrowbody,narrowbody,2453,<50,21.6,1430000,5380
AYT,HAM,network-longhaul,widebody,widebody_nonoceanic,2453,<50,39.2,1630000,12600
AYT,HAM,narrowbody-mixed,narrowbody,narrowbody,2453,<50,18,177000,860
AYT,HER,narrowbody-mixed,narrowbody,narrowbody,533,<50,28.8,15400,215
AYT,HER,network-longhaul,widebody,widebody_nonoceanic,533,<50,54.6,146000,3780
AYT,HER,narrowbody-mixed,narrowbody,narrowbody,533,<50,24.7,513000,7520
AYT,KGD,narrowbody-mixed,narrowbody,narrowbody,2145,50-200,22,4250000,17600
AYT,KGD,narrowbody-mixed,narrowbody,narrowbody,2145,<50,18.3,785000,3870
AYT,KJA,narrowbody-mixed,narrowbody,narrowbody,4976,<50,7.48,633000,3220
AYT,KJA,network-longhaul,widebody,widebody_nonoceanic,4976,50-200,37.8,9790000,36500
AYT,KUF,narrowbody-mixed,narrowbody,narrowbody,2372,50-200,21.7,4640000,17600
AYT,KUF,narrowbody-mixed,narrowbody,narrowbody,2372,<50,18.1,42900,215
AYT,KZN,narrowbody-mixed,narrowbody,narrowbody,2501,<50,8.38,482000,4520
AYT,KZN,network-longhaul,widebody,widebody_nonoceanic,2501,<50,50.3,252000,1260
AYT,LED,narrowbody-mixed,narrowbody,narrowbody,2546,<50,8.34,425000,3870
AYT,LED,network-longhaul,widebody,widebody_nonoceanic,2546,50-200,50.2,8570000,47800
AYT,LEJ,narrowbody-mixed,narrowbody,narrowbody,2177,<50,22,239000,1080
AYT,LEJ,network-longhaul,widebody,widebody_nonoceanic,2177,50-200,39.8,5110000,41500
AYT,LEJ,narrowbody-mixed,narrowbody,narrowbody,2177,<50,18.3,239000,1080
AYT,LEJ,network-longhaul,widebody,widebody_nonoceanic,2177,<50,51,111000,1260
AYT,LEJ,network-longhaul,widebody,widebody_nonoceanic,2177,<50,57.2,125000,1260
AYT,MUC,narrowbody-mixed,narrowbody,narrowbody,2000,<50,22.2,133000,645
AYT,MUC,network-longhaul,widebody,widebody_nonoceanic,2000,50-200,40.2,4670000,40300
AYT,MUC,narrowbody-mixed,narrowbody,narrowbody,2000,<50,18.5,554000,3010
AYT,MUC,network-longhaul,widebody,widebody_nonoceanic,2000,<50,51.4,309000,2520
AYT,MUC,network-longhaul,widebody,widebody_nonoceanic,2000,<50,57.8,231000,1260
AYT,NUE,narrowbody-mixed,narrowbody,narrowbody,2113,<50,22.1,1540000,6450
AYT,NUE,network-longhaul,widebody,widebody_nonoceanic,2113,<50,39.9,84400,1260
AYT,NUE,narrowbody-mixed,narrowbody,narrowbody,2113,<50,18.3,814000,4080
AYT,OVB,narrowbody-mixed,narrowbody,narrowbody,4355,<50,7.56,1480000,8820
AYT,OVB,network-longhaul,widebody,widebody_nonoceanic,4355,50-200,38.1,9950000,42800
AYT,OVB,narrowbody-mixed,narrowbody,narrowbody,4355,<50,17.4,2120000,5380
