Carrier Code,Carrier Name,Dep Airport Code,Arr Airport Code,CalculatorName,ac_category,Dep Region Code,Arr Region Code,annual_flights,annual_co2_kg,mean_co2_flight,gcd_km,pct_affected,saving_per_flight_kg,annual_affected_flights,annual_co2_saving_kg,is_transatlantic,is_widebody,pct_affected_corr,saving_per_flight_corr,annual_affected_corr,annual_co2_saving_corr,is_south_atlantic,annual_co2_saving_final
2B,Albawings,AOI,TIA,B732,borderline,EU1,EU2,123,1710225.40803,13904.3,576,0.455,107.5,56,6020,FALSE,FALSE,0.455,107.5,56,6020,FALSE,6020
2B,Albawings,BGY,TIA,B732,borderline,EU1,EU2,180,3611569.6062,20064.3,935,0.455,107.5,82,8815,FALSE,FALSE,0.455,107.5,82,8815,FALSE,8815
2B,Albawings,BLQ,TIA,B732,borderline,EU1,EU2,122,2097931.37726,17196.2,768,0.455,107.5,56,6020,FALSE,FALSE,0.455,107.5,56,6020,FALSE,6020
2B,Albawings,BRI,TIA,B732,borderline,EU1,EU2,124,1034514.332728,8342.9,249,0.455,107.5,56,6020,FALSE,FALSE,0.455,107.5,56,6020,FALSE,6020
2B,Albawings,FLR,TIA,B732,borderline,EU1,EU2,100,1680130.932,16801.3,745,0.455,107.5,46,4945,FALSE,FALSE,0.455,107.5,46,4945,FALSE,4945
2B,Albawings,FRL,TIA,B732,borderline,EU1,EU2,25,398604.93925,15944.2,695,0.455,107.5,11,1182,FALSE,FALSE,0.455,107.5,11,1182,FALSE,1182
2B,Albawings,GOA,TIA,B732,borderline,EU1,EU2,124,2509266.36964,20236,945,0.455,107.5,56,6020,FALSE,FALSE,0.455,107.5,56,6020,FALSE,6020
2B,Albawings,MXP,TIA,B732,borderline,EU1,EU2,91,1929027.8853299995,21198.1,1001,0.455,107.5,41,4408,FALSE,FALSE,0.455,107.5,41,4408,FALSE,4408
2B,Albawings,PEG,TIA,B732,borderline,EU1,EU2,122,1790432.00596,14675.7,621,0.455,107.5,56,6020,FALSE,FALSE,0.455,107.5,56,6020,FALSE,6020
2B,Albawings,PSA,TIA,B732,borderline,EU1,EU2,198,3523857.7076999997,17797.3,803,0.455,107.5,90,9675,FALSE,FALSE,0.455,107.5,90,9675,FALSE,9675
2B,Albawings,RMI,TIA,B732,borderline,EU1,EU2,21,318268.74996,15155.7,649,0.455,107.5,10,1075,FALSE,FALSE,0.455,107.5,10,1075,FALSE,1075
